1	H	氢	1.008
2	He	氦	4.003
3	Li	锂	6.941
4	Be	铍	9.012
5	B	硼	10.81
6	C	碳	12.01
7	N	氮	14.01
8	O	氧	16
9	F	氟	19
10	Ne	氖	20.18
11	Na	钠	22.99
12	Mg	镁	24.31
13	Al	铝	26.98
14	Si	硅	28.09
15	P	磷	30.97
16	S	硫	32.06
17	Cl	氯	35.45
18	Ar	氩	39.95
19	K	钾	39.1
20	Ca	钙	40.08
21	Sc	钪	44.96
22	Ti	钛	47.87
23	V	钒	50.94
24	Cr	铬	52
25	Mn	锰	54.94
26	Fe	铁	55.85
27	Co	钴	58.93
28	Ni	镍	58.69
29	Cu	铜	63.55
30	Zn	锌	65.39
31	Ga	镓	69.72
32	Ge	锗	72.64
33	As	砷	74.92
34	Se	硒	78.96
35	Br	溴	79.9
36	Kr	氪	83.8
37	Rb	铷	85.47
38	Sr	锶	87.62
39	Y	钇	88.91
40	Zr	锆	91.22
41	Nb	铌	92.91
42	Mo	钼	95.96
43	Tc	锝	98
44	Ru	钌	101.1
45	Rh	铑	102.9
46	Pd	钯	106.4
47	Ag	银	107.9
48	Cd	镉	112.4
49	In	铟	114.8
50	Sn	锡	118.7
51	Sb	锑	121.8
52	Te	碲	127.6
53	I	碘	126.9
54	Xe	氙	131.3
55	Cs	铯	133
56	Ba	钡	137.3
57	La	镧	139
58	Ce	铈	140
59	Pr	镨	141
60	Nd	钕	144
61	Pm	钷	145
62	Sm	钐	150.5
63	Eu	铕	152
64	Gd	钆	157
65	Tb	铽	159
66	Dy	镝	162.5
67	Ho	钬	165
68	Er	铒	167
69	Tm	铥	169
70	Yb	镱	173
71	Lu	镥	175
72	Hf	铪	178.5
73	Ta	钽	181
74	W	钨	184
75	Re	铼	186
76	Os	锇	190
77	Ir	铱	192
78	Pt	铂	195
79	Au	金	197
80	Hg	汞	200.6
81	Tl	铊	204.5
82	Pb	铅	207
83	Bi	铋	209
84	Po	钋	209
85	At	砹	210
86	Rn	氡	222
87	Fr	钫	223
88	Ra	镭	226
89	Ac	锕	227
90	Th	钍	232
91	Pa	镤	231
92	U	铀	238
93	Np	镎	237
94	Pu	钚	244
95	Am	镅	243
96	Cm	锔	247
97	Bk	锫	247
98	Cf	锎	251
99	Es	锿	252
100	Fm	镄	257
101	Md	钔	258
102	No	锘	259
103	Lr	铹	260
